Police is still investigating about the cause of the fire.,Poliisi ekyanoonyereza ekyaviiriddeko omuliro.,,
Police failed to find out the cause of the accident.,Poliisi yalemereddwa okuzuula ekyaviiriddeko akabenje.,,
Many people died in the accident.,Abantu bangi abaafiiridde mu kabenje.,,
The school gave out bursaries to some students.,Essomero lyawadde abaana abamu bbasale.,,
Refugees were also admitted on bursaries.,Abanoonyiboobubudamu nabo baayingiridde ku bbasale.,,
There is an ongoing teachers' workshop.,Waliwo omusomo gw'abasomesa ogugenda mu maaso.,,
Only the best performers were given scholarships.,Abasinga okukola obulungi bokka beebaaweereddwa sikaala.,,
More schools should be built in Northern Uganda.,Amasomero amalala gateekeddwa okuzimbibwa mu bukiikakkono bwa Uganda.,,
There is a meeting for the non-teaching staff.,Waliwo olukiiko lw'abakozi abatali basomesa.,,
Students should always be disciplined.,Abayizi bateekeddwa okubeera n'empisa..,,
The headteacher told the students to work hard.,Omukulu w'essomero yagamba abayizi okukola ennyo.,,
Parents were requested to pay school fees in time.,Abazadde baasabiddwa okusasula ebisale by'essomero mu budde.,,
The best performing students will be rewarded.,Abayizi abasinga okukola obulungi bajja kusiimibwa.,,
He congratulated me upon winning the scholarship.,Yanjozaayoza olw'okuwangula sikaala.,,
Students will have a briefing before they sit their exams.,Abayizi bajja kubuulirirwa nga tebannatuula bibuuzo byabwe.,,
The government sponsored some students to study from abroad.,Gavumenti yasasulidde abayizi abamu okusomera ebweru.,,
Farmers have been given more capital.,Abalimi n'abalunzi baweereddwa entandikwa endala.,,
Most people rely on farming for survival.,Abantu abasinga bayimirirawo ku bulimi n'obulunzi okubeerawo.,,
They did not expect the new dormitory to catch fire.,Baabadde tebasuubira kisulo kipya kukwata muliro.,,
Farmers were trained about the best farming practices.,Abalimi baatendekeddwa ku nnima ez'omulembe.,,
Refugees were given food relief.,Abanoonyiboobubudamu baaweereddwa obuyambi bw'emmere.,,
It is a rainny season.,Ebiseera bya nkuba.,,
We wrote to the government seeking funding.,Twawandiikidde gavumenti nga tusaba buyambi.,,
We were advised to use renewable energy sources.,Twaweereddwa amagezi okukozesa engeri empya ez'amasannyalaze.,,
Many people have fallen sick this month.,Abantu bangi balwadde omwezi guno.,,
Some refugees cannot attend the workshop.,Abanoonyiboobubudamu abamu tebasobola kugenda ku musomo.,,
Refugees were urged to work hard to develop themselves.,Abanoonyiboobubudamu baakubiriziddwa okukola ennyo okwekulaakulanya.,,
Many refugees grow cash crops.,Abanoonyiboobubudamu abasinga balima ebirime ebitundibwa.,,
The bus should be repaired.,Bbaasi eteekeddwa okukanikibwa.,,
The community bought a new bus.,Ekitundu kyaguze bbaasi empya.,,
We are still fundraising to buy a car .,Tukyasonda kugula mmotoka .,,
Students requested the school to purchase a bus.,Abayizi baasabye essomero okugula bbaasi.,,
Some students cannot afford daily transport to school.,Abayizi abamu tebasobola bisale bya ntambula buli lunaku kugenda ku ssomero.,,
They fundraised and bought a school bus.,Baasonze ne bagula bbaasi y'essomero.,,
More refugees have settled in the central region.,Abanoonyiboobubudamu abalala basenze mu kitundu eky'omu masekkati.,,
The school bus is very useful.,Bbaasi y'essomero ya mugaso nnyo.,,
She testified during the church service.,Yawadde obujulizi mu kaseera k'okusaba mu kkanisa.,,
I have never traveled a long distance.,Sitambulangako ku lugendo luwanvu.,,
I did not contribute to this event.,Saasondera mukolo guno.,,
He was very grateful to the leaders for the good work.,Yasiimye abakulembeze olw'omulimu omulungi.,,
We have not yet elected the new leaders.,Tetunnalonda bakulembeze bapya.,,
He requested all of us to make financial contributions.,Ffenna yatusabye tumusondere ku ssente.,,
The education sector is a very sensitive sector.,Ekisaawe ky'ebyenjigiriza kya nkizo nnyo.,,
There are many land wrangle cases.,Waliwo emisango gy'ettaka mingi.,,
Children should be trained not to fight.,Abaana bateekeddwa okutendekebwa obutalwana.,,
Many people died during the recent demonstrations.,Abantu bangi abaafiiridde mu bwegugungo obwakayita.,,
Many children are mistreated by their parents.,Abaana bangi batulugunyizibwa bazadde babwe.,,
There was a court session to settle the land disputes.,Waabaddewo olutuula lwa kkooti okugonjoola enkaayana z'ettaka.,,
My son will inherit my land.,Mutabani wange ajja kusikira ettaka lyange.,,
The priest discouraged youth from using drugs,Omusumba yagaanye abavubuka okukozesa ebiragalalagala,,
His land was grabbed by his step father.,Ettaka lye lyabbibwa omwami eyawasamaama we.,,
We were all requested to register our land.,Ffenna twasabibwa okuwandiisa ettaka lyaffe.,,
They have not yet resolved the land disputes.,Tebannagonjoola nkaayana za ttaka.,,
The chairman requested us to meet and resolve the issues.,Ssentebe yatusabye tusisinkane tugonjoole ensonga.,,
He was killed by his son.,Yatiddwa mutabani we.,,
People need to be sensitized about land ownership.,Abantu beetaaga okusomesebwa ku bwannannyini bw'ettaka.,,
Schools have asked the government to give them food relief.,Amasomero gasabye gavumenti okubawa obuyambi bw'emmere.,,
Transportation of students has been eased.,Okutambuza abayizi kwanguyiziddwa.,,
Every student contributed towards construction of the new classroom block.,Buli muyizi yasonze eri okuzimbibwa kw'ekibiina ekipya.,,
The bursar read out the school budget.,Bbaasa yasomye embalirira y'essomero.,,
The beneficiaries of the project are mainly students.,Abaganyulwa mu pulojekiti okusinga bayizi.,,
We were advised to fully exploit the available resources while in school.,Twakubirizibwa okukozesa mu bujjuvu ebintu byonna ebiriwo nga tuli ku ssomero.,,
Majority of the parents refused to contribute towards the purchase of the school bus.,Abazadde abasinga obungi baagaanye okusonda ssente z'okugula bbaasi y'essomero.,,
The school is greatly indebted.,Essomero libanjibwa nnyo,,
The administrators were very disappointed with the parents.,Abakulembeze baayiibwa nnyo bazadde.,,
The minister contributed towards the construction of the new building.,Minisita yawaddeyo ssente mu kuzimba ekizimbe ekipya.,,
The school bus cannot accommodate most of the students.,Bbaasi y'essomero tesobola kumalawo bayizi bonna.,,
Students complained about the poor feeding.,Abayizi beemulugunyizza ku ndya embi.,,
The chairman requested all of us to work towards development     .,Ssentebe yatusabye ffenna okukolerera enkulaakulana.,,
The minister contributed generously.,Minisita yawaddeyo n'omutima gumu.,,
Most youth are unemployed.,Abavubuka bangi tebalina mirimu.,,
Youth were encouraged to create their own jobs or businesses.,Abavubuka baakubiriziddwa okutondawo emirimu oba bizinensi ezaabwe.,,
We still need more funds to complete the project.,Tukyetaaga ensimbi endala okumaliriza pulojekiti.,,
Various youth groups received funds in the form of loans under the youth program.,Ebibiina by'abavubuka eby'enjawulo byafuna ensimbi mu ngeri ya looni wansi wa pulogulaamu y'abavubuka.,,
The government has written off millions of money under the youth livelihood program loans.,Gavumenti esonyiye amabanja ga looni mangi agali mu pulogulaamu y'abavubuka eya youth liverihood program.,,
It is good to be consistent in your business.,Kirungi okubeera toddiriza mu bizinensi yo.,,
He educated the youth about better financial management skills.,Yasomesezza abavubuka ku bukodyo bw'okukwatamu obulungi ensimbi.,,
The program is aimed at increasing employment rate and to reduce poverty.,Enteekateeka egendereddwamu kwongera ku mirimu na kukendeeza bwavu.,,
My brother hid after receiving a one million Uganda shilling loan from the bank.,Muganda wange yekweka oluvannyuma lw'okufuna akakadde k'ensimbi ku banjja okuva mu bbanka.,,
Success comes with a lot of failures.,Obuwanguzi bujja n'okulemererwa kungi.,,
Is this a good business idea?,Kino ekirowoozo kya bizinesi kirungi?,,
There is an increase in youth unemployment these days.,Waliwo okweyongera kw'ebbula ly'emirimu mu bavubuka ennaku zino.,,
The program target was for the poor and unemployed youth.,Ekiruubirirwa ky'enteekateeka kyali ky'abaavu n'abavubuka batalina mirimu.,,
There are various institutions working against corruption in Uganda.,Waliwo ebitongole eby'enjawulo ebikola okumalawo enguzi mu Uganda.,,
There is corruption and nepotism in many government departments.,Waliwo obuli bw'enguzi n'obulyake bingi mu bitongole bya gavumenti.,,
The swearing in ceremony will be held tomorrow in the morning at the district headquarters.,Omukolo gw'okulayira gwakukolebwa enkya kumakya ku kitebe kya disitulikiti.,,
The leader should lead out true equality between  men and women.,Omukulembeze alina okulaga obwenkanya wakati w'abaami b'abakyala.,,
You can't lead without followers.,Tosobola ku kulembera nga tolina bagoberezi.,,
There will be a community meeting with the community leaders.,Wajja kubeerawo olukiiko lw'ekitundu n'abakulembeze b'ekitundu.,,
"We elected our village leaders on Wednesday, with a lot of expectations.",Twalonze abakulembeze b'ekyalo kyaffe ku lwokusatu n'ebibasuubirwamu bingi.,,
Every visitor is to sign in and out of the building.,Buli mugenyi wa kuwandiika ng'ayingira n'okufuluma ekizimbe.,,
Each village is run by a local leader.,Buli kyalo kiddukanyizibwa omukulembeze.,,
The chairman local council five heads the meeting.,Ssentebe wa L.C eyookutaano y'akulembera olukiiko.,,
The police have tried new methods to stop crime rate.,Poliisi egezezzaako engeri empya ez'okuyimiriza obuzzi bw'emisango.,,
We received training from the experienced industry professionals.,Twafunye okutendekebwa okuva eri abakugu abamanyirivu ab'amakolero.,,
The meeting will be held next week on Friday at the town hall.,Olukiiko lujja kubeerayo wiiki ejja ku lwokutaano mu kisenge ky'ekibuga.,,
Driving is one of the most dangerous jobs in the oil field.,Okuvuga gw'egumu ku mirimu egy'obulabe mu kisaawe ky'amafuta.,,
They discovered oil and gas in the Northern part of the country.,Baazuula amafuta ne gaasi mu kitundu ky'obukiikakkono bw'eggwanga.,,
What is the state of oil and gas in Uganda?,Amafuta ne gaasi gali mu mbeera ki mu Uganda?,,
Transparency is important to stop corruption in resource rich countries.,Obwerufu kikulu mu kukomya enguzi mu nsi engagga.,,
"In Uganda, oil was discovered ten years ago.",Mu Uganda amafuta gaazulibwa emyaka kkumi egiyise.,,
Oil pollution harms animals and insects.,Okwonoona amafuta kyabulabe eri ebisolo n'ebiwuka.,,
"The revenue will be collected, reported and accounted for.","Omusolo gujja kusoloozebwa, gulangirirwe ate gubalirirwe.",,
The local community in oil rich regions will benefit from oil and gas exploitation.,Ebyalo ebiri mu bitundu omuli amafuta bijja kuganyulwa okuva mu kusima amafuta ne gaasi.,,
The government will get a lot of income from the oil and gas industry.,Gavumenti ejja kufuna ssente nnyingi okuva mu kisaawe ky'amafuta ne gaasi.,,
The minister urged the locals to exploit opportunities in the oil and gas industry.,Minisita yakubirizza bannansi okukozesa emikisa gyonna mu kitongole ky'amafuta be ggaasi.,,
We are also affected by lack of power in our areas.,Naffe tukosebwa olw'obutaba n'amasannyalaze mu bitundu byaffe.,,
The power line extension to the Northern part of Uganda has begun.,Omulimu ogw'okwongeza layini y'amasannyalaze mu bukiikakkono bwa Uganda gutandise.,,
The locals had lost hope of getting electricity in their areas.,Abatuuze baali baggwamu essuubi ly'okufuna amasannyalaze mu bitundu byabwe.,,
Owners of the land where the power lines will pass were compensated.,Bannannyini ttaka waya z'amasannyalaze wezinaayita baaliyirirwa.,,
The people in the community are satisfied with the compensation they got.,Abatuuze mu kitundu bamativu n'okuliririrwa kwe baafunye.,,
He advised the locals to use the money for developing their livelihoods.,Yakubirizza abatuuze okukozesa ssente okwekulaakulanya mu maka gaabwe.,,
Some people received less money compared to the destruction they got.,Abantu abamu baafunye ssente ntono okusinziira ku kwonoonebwa kwe baafuna.,,
Most of the people in these areas are affected by poverty.,Abantu abasinga mu bitundu bino bakoseddwa obwavu.,,
The president directed the pastoralists to leave that region.,Pulezidenti yalagidde abalunzi okuva mu kitundu ekyo.,,
These pastoralists steal the residents' cattle.,Abalunzi bano babba ente z'abatuuze.,,
Some of the pastoralists don't have permits to move cattle.,Abamu ku balunzi tebalina ppamiti kutambuza nte.,,
The residents raised their complaints in the village meeting with their leaders.,Abatuuze baawaddeyo okwemulugunya kwaabwe mu lukiiko lw'ekyalo eri abakulembeze baabwe.,,
In some regions pastoralism is a common activity among the youth.,"Mu bitundu ebimu, obulunzi bw'ente mulimu nnyo mu bavubuka.",,
The pastoralists who had been arrested bribed the police officers to release them.,Abalunzi abaabadde bakwatiddwa baawadde abakungu ba Poliisi enguzi okubayimbula.,,
Residents have a right to their land.,Abatuuze balina eddembe ku ttaka lyabwe.,,
Some leaders help the pastoralists in the illegal movement of cattle.,Abakulembeze abamu bayambako abalunzi mu kutambuza ente okumenya amateeka.,,
The committee imposed a ban on livestock movement in the night.,Akakiiko kaatadde envumbo ku kutambuza ebisolo ekiro.,,
There are different pastoral groups in Uganda.,Waliwo ebibinja by'abalunzi  eby'enjawulo mu Uganda.,,
It is important to keep peace and security in the community.,Kirungi okukuuma emirembe n'obutebenkevu mu kitundu.,,
We need more support to fight environmental degradation.,twetaaga obuwagizi obulala okulwanyisa okwonoona obutonde.,,
Refugees are causing a wide environmental damage.,Abanoonyiboobubudamu bakosa nnyo obutonde bw'ensi.,,
Projects are helping with the planting of trees in the Northern part of Uganda.,Pulojekiti ziyamba mu kusimba emiti mu bukiikakkono bwa Uganda.,,
Refugees cut down trees for timber and charcoal trade.,Abanoonyiboobubudamu batema emiti okufunamu embaawo n'amanda eby'okutunda.,,
There is an increase in the cutting down of trees in Uganda.,Waliwo okweyongera mu kutema emiti mu Uganda.,,
Security forces in the district are fighting the cutting down of trees in those areas.,Ebitongole ebikuumaddembe mu disitulikiti birwanyisa okutema emiti mu bitundu ebyo.,,
The residents in the community also take part in the charcoal trade.,Abatuuze mu kitundu nabo beenyigira mu kutunda amanda.,,
The government has put up strict rules to prohibit cutting down of trees.,Gavumenti ettaddewo amateeka amakakali agakugira okutema emiti.,,
Local leaders have urged the community to conserve the environment.,Abakulembeze b'ebyalo bakubirizza abatuuze okukuuma obutonde.,,
We get fruits from some species of trees.,Tufuna ebibala okuva ku bika by'emiti ebimu.,,
There is an increase in the number of refugees coming into Uganda.,Waliwo okweyongera mu muwendo gw'abanoonyiboobubudamu abajja mu Uganda.,,
The government increased the funds allocated to the health sector.,Gavumenti yayongedde ku mutemwa oguweebwa ebyobulamu.,,
The president was the guest of honor at the opening of the midwifery school.,Pulezidenti ye yali omugenyi omukulu mu kuggulawo essomero ly'abazaalisa.,,
Students are advised to take on science subjects.,Abayizi baweebwa amagezi okutwala amasomo ga ssaayansi.,,
The woman leader established the midwifery school.,Omukulembeze w'abakyala yazimbye essomero ly'abazaalisa.,,
It is important for a doctor to develop a connection to his patients.,Kya mugaso omusawo okussaawo enkolagana n'abalwadde be.,,
The community is happy for completion of the midwifery school.,Ekitundu kisanyufu olw'okumalirizibwa kw'essomero ly'abazaalisa.,,
The government should reduce the number of members of parliament and increase their salaries.,Gavumenti esaanye ekendeeze ku muwendo gw'abakiise mu paalamenti eyongeze emisaala gyabwe.,,
The president refused the increase in salary of some government officials.,Pulezidenti yagaanye okwongezebwa kw'emisaala gy'abakozi ba gavumenti abamu.,,
I gave my learners an exam of Friday,Nnawa abayizi bange ekigezo ku lwokutaano.,,
Our country registered a decline in infant and maternal rates.,Eggwanga lyaffe lyafunye okukendeera mu baana abafa nga bato n'abakyala abafiira mu ssanya.,,
The government has given bursaries to the best performing students.,Gavumenti ewadde abaana abasinga okusoma obulungi okusomera obwereere.,,
The political party is focusing on improving employment opportunities among the youth.,Ekibiina ky'ebyobufuzi kiruubirira kutumbula mirimu mu bavubuka.,,
The village leader offered land for the construction of the school.,Omukulembeze w'ekyalo yawaddeyo ettaka kuzimbibweko essomero.,,
Construction of the bridge will ease the movement of goods in the district.,Okuzimba olutindo kwakugonza entambula y'ebyamaguzi mu disitulikiti.,,
The bridge will link people and trade activities from different areas.,Olutindo lujja kugatta abantu ku byobusuubuzi okuva mu bitundu ebirala.,,
The bridge will also help in the economic development      of the area.,Olutindo lujja kuyamba mu kutumbula ebyenfuna by'ekitundu.,,
There will be improvement of trade in the neighboring countries.,Wajja kubeerawo okutumbula eby'ensuubulagana mu mawanga agaliraanye.,,
The district leaders had a meeting about the construction of infrastructures in the district.,Abakulembeze ba disitulikiti baabadde n'olukiiko ku kuzimba ebintu ebigasiza awamu abantu mu disitulikiti.,,
The government has approved the construction of the bridge.,Gavumenti eyisizza okuzimbibwa kw'olutindo.,,
It is very expensive to repair a broken down ferry.,Kya bbeeyi nnyo okuddaabiriza ekidyeri ekyonoonese.,,
The ferry has limited time of movement.,Ekidyeri kirina obudde butono obw'okutambula.,,
The bridge construction offered job opportunities for some people in the community.,Okuzimba olutindo kwawadde abantu abamu emirimu mu kitundu emirimu.,,
The leaders are yearning for the government to help in the construction of the bridge.,Abakulembeze bayaayaanira gavumenti okuyamba mu kuzimba kw'olutindo.,,
The leaders are making plans in finding ways to end poverty in all forms everywhere.,Abakulembeze batema mpenda okuzuula engeri zonna ez'okukomya obwavu buli mu ngeri zonna.,,
There are people who lost their lives due to wars and political conflict.,Waliwo abantu abaafiirwa obulamu bwabwe olw'entalo n'obukuubagano mu byobufuzi.,,
I thank you all for coming to celebrate  God's grace that saved my life.,Mbeebaza mwenna olw'okujja okujaguza ekisa kya Katonda ekyataasizza obulamu bwange.,,
We have always lived in peace and harmony in our community.,Bulijjo tubaddenga mu ddembe n'obumu mu kitundu kyaffe.,,
Disputes should be settled peacefully among residents.,Obutakkaanya mu batuuze bulina okugonjoolwa mu mirembe.,,
She accused her neighbor of bewitching her.,Yavunaanye muliraanwa we okumuloga.,,
The opposition leader was manhandled during the arrest.,Omukulembeze w'oludda oluvuganya gavumenti yakwatiddwa mu ngeri embi.,,
Everyone thought he was dead.,Buli omu yalowooza nti afudde.,,
It is by God's grace that he is still alive.,Olw'ekisa kya Katonda akyali mulamu.,,
There is tight security at the country's border points.,Ebyokwerinda binywevu ku nsalo z'eggwanga.,,
Early marriages hinder the education of the girl child in the community.,Okufumbirwa amagu kizingamya okusoma kw'omwana omuwala mu kitundu.,,
There are cattle rustlers in the Northern part of Uganda.,Waliyo obabbi b'ente mu kitundu ky'obukiikakkono ga Uganda.,,
The President has fulfilled his pledge towards the construction of new markets in the country.,Pulezidenti atuukirizza obweyamo bwe obw'okuzimba obutale obupya mu ggwanga.,,
The two women leaders narrowly survived death.,Abakulembeze b'abakyala babiri baawonedde watono okufa.,,
The deceased has an unknown identity.,Omufu tamanyiddwa bimukwatako.,,
The police examined the deceased body to make a medical report.,Poliisi yeekebejjezza omulambo okusobola okukola alipoota y'eddwaliro.,,
There is an increase in road accidents in Nebbi district.,Obubenje bw'okukubo bweyongedde mu disitulikiti ye Nebbi.,,
Drivers should avoid speeding.,Abavuzi bateekeddwa okwewala okuvuga endiima.,,
People failed to identify the body of the deceased.,Abantu baalemereddwa okutegeera ebikwata ku mubiri gw'omugenzi.,,
The body will be buried at the public cemetery.,Omugenzi ajja kuziikibwa mu limbo ey'olukale.,,
The police announced on radio stations for people to identify the body.,Poliisi yalanze ku laadiyo abantu basobole okuzuula omufu y'ani?,,
There is corruption among district officials.,Waliwo enguzi mu bakungu ba disitulikiti.,,
The cattle provided by the government to the people were stolen.,Ente gavumenti ze yawa abantu zabiddwa.,,
Leaders slaughtered the cattle for meat.,Abakulembeze basse ente okufuna ennyama.,,
People did not receive the cattle provided by the government.,Abantu tebaafunye nte gavumenti ze yabawadde.,,
The police are carrying out investigations to recover the stolen cattle.,Poliisi ekola okunoonyereza okuzuula ente enzibe.,,
The people provided intelligence information regarding the whereabouts of the cattle.,Abantu baawaddeyo amawulire agakwata ku mayitire g'ente.,,
The councilor was arrested.,Kansala yakwatiddwa.,,
Leaders sold the animals to the people.,Abakulembeze baaguzizza abantu ebisolo.,,
The police was able to recover the animals.,Poliisi yasobodde okuzuula ebisolo.,,
The councilor sold the animals to non-beneficiaries.,Kansala yaguzizza ebisolo eri abatalina kuziganyulwamu.,,
The district leaders are greedy and selfish.,Abakulembeze ba disitulikiti baluvu era beefaako bokka.,,
Corrupt people will be arrested.,Abali b'enguzi bajja kukwatibwa.,,
The councilor was given a police bond.,Kansala yaweereddwa akakalu ka poliisi.,,
The councilor provided the cows to his voters.,Kansala yawadde abalonzi be ente.,,
Parents have insufficient funds to take their children to school.,Abazadde tebalina sente zimala kutwala baana baabwe ku ssomero.,,
Pupils are performing well   in the primary leaving examinations.,Abayizi bakola bulungi mu bibuuzo bya pulayimale eby'akamalirizo.,,
The district should support the vulnerable people.,Disitulikiti esaana okuyamba abantu abatalina mwasirizi.,,
Schools should provide bursaries and sponsorships to bright students.,Amasomero gateekeddwa okugabira abayizi abagezi bbasale ne sikaala.,,
Women have participated in trading.,Abakazi beenyigidde mu busuubuzi.,,
Parents lack funds to sustain their families.,Abazadde tebalina nsimbi kubeezaawo maka gaabwe.,,
Some men abandoned their families.,Abasajja abamu baasuulawo amaka gaabwe.,,
The government will provide sponsorships to the vulnerable people.,Gavumenti ejja kuwa abantu abateesobola obuyambi.,,
Teachers are well paid in schools.,Abasomesa basasulwa bulungi mu masomero.,,
The school management cut the salaries for the absent teachers.,Akakiiko akakulembera essomero kasaze emisaala gy'abasomesa abayosa.,,
The district is performing well   in education at a regional level.,Disitulikiti ekola bulungi mu byenjigiriza ku mutendera gw'ekitundu.,,
The schools will maintain the good performance.,Amasomero gajja kunyweza okukola bulungi.,,
The performance among pupils is improving gradually.,Ensoma y'abayizi egenda erongooka mpola.,,
Teachers do not complete the syllabus.,Abasomesa tebamalaayo birambikiddwa kusomesa.,,
Most of the youths lack jobs.,Abavubuka abasinga tebalina mirimu.,,
The police will arrest idlers on the streets.,Poliisi ejja kukwata abataayaaya ku nguudo.,,
People should engage in agricultural activities.,Abantu bateekeddwa okwenyigira mu byobulimi n'obulunzi.,,
The leaders will provide jobs to the youths.,Abakulembeze bajja kuwa abavubuka emirimu.,,
People should participate in the development of the society.,Abantu bateekeddwa okwenyigira mu kukulaakulanya ebitundu.,,
Men do not provide for their families.,Abasajja tebagabirira maka gaabwe.,,
Youths spend most of their time in gambling and gaming.,Abavubuka bamala obudde bwabwe obusinga mu zaala n'emizannyo.,,
Youths gamble to get some money.,Abavubuka bazannya zaala okufuna ku ssente.,,
Most of the youths are orphans.,Abavubuka abasinga ba mulekwa.,,
Leaders should work for the people.,Abakulembeze bateekeddwa okukolera bantu.,,
Youths should be forced to engage in economic activities.,Abavubuka bateekeddwa okukakibwa okwenyigira mu byenfuna.,,
Youths engage in criminal activities for example stealing.,Abavubuka benyigira mu bikolwa ebimenya amateeka ng'obubbi.,,
The government has created the youth livelihood fund for the youth projects.,Gavumenti etonzeewo youth liverihood fund okuyamba ku pulojekiti z'abavubuka.,,
Youths should work hard in order to become useful citizens.,Abavubuka bateekeddwa okukola ennyo basobole okufuuka abatuuze ab'omugaso.,,
Leaders have encouraged afforestation.,Abakulembeze bakubirizza abantu okusimba emiti.,,
People who cut down trees were fined.,Abantu abatema emiti baatanzibwa.,,
People should understand the significance of trees in the environment.,Abantu bateekeddwa okumanya omugaso gw'emiti eri obutonde obutwetoolodde.,,
Leaders organized a meeting to respond to the challenges faced by the people.,Abakulembeze baategeka olukiiko okwanukula okusomoozebwa abantu kwe bayitamu.,,
Government should enforce the environment laws.,Gavumenti eteekeddwa okukwasisa amateeka g'obutonde.,,
People cut down trees to get timber.,Abantu basala emiti okufuna embaawo.,,
The district provided tree seedlings to the people.,Disitulikiti yagabira abantu endokwa z'emiti.,,
People cut down trees to get firewood.,Abantu batema emiti okufuna enku.,,
People sell charcoal and get money.,Abantu batunda amanda ne bafuna ensimbi.,,
Timber is a source of revenue for the government.,Embaawo zivaamu omusolo eri gavumenti.,,
Trees act as wind breakers.,Emiti gikola ng'ekiziyiza amanyi g'empewo.,,
People demonstrated over the cutting down of shea nut trees.,Abantu bekalakaasizza lwa kutema miti gy'ebinazi egya Shea.,,
Mothers shunned postnatal care services in Nebbi.,Bamaama beewaze obuweereza bw'obujjanjabi oluvannyuma lw'okuzaala mu Nebbi.,,
Mothers don’t go for healthcare services after delivery.,Bamaama tebagenda kufuna bujjanjabi nga bamaze okuzaala.,,
Mothers should be concerned about their health and newborn babies.,Bamaama bateekeddwa okufaayo ku bulamu bwabwe n'abaana abaakazaalibwa.,,
The attendance of mothers for postnatal care is low.,Okujjumbira kw'obujjanjabi eri bamaama abamaze okuzaala kuli wansi.,,
Mothers should feed on good food.,Bamaama bateekeddwa okulya emmere ennungi.,,
Mothers should sleep under a treated mosquito net.,Bamaama balina okwebaka mu katimba k'ensiri akalimu eddagala.,,
Mothers should go for antenatal care.,Bamaama balina okugenda bakeberwe nga bali mbuto.,,
Mothers cannot afford postnatal care services.,Bamaama tebasobola kusasulira kulabirirwa okuddirira okuzaala.,,
Health workers should be effective in providing health services.,Abasawo bateekeddwa okubeera abakugu mu kuwa obujjanjabi.,,
Hospitals retain delivery cards to force mothers to return for postnatal care.,Amalwaliro gasigaza kaadi y'okuzaalirako okukaka bamaama okuddayo okufuna okulabirirwa oluvannyuma lw'okuzaala.,,
Mothers think postnatal care services are irrelevant.,Bamaama balowooza nti okulabirirwa mu ddwaliro oluvannyuma lw'okuzaala tekwetaagisa.,,
Mothers are discouraged about postnatal care because no medical checkup is done.,Bamaama baggwamu amaanyi ku lw'okulabirirwa nga bamaze okuzaala kubanga tewali kukeberebwa kukolebwa.,,
Men abandon girls after impregnating them.,Abasajja basuulawo abawala oluvannyuma lw'okubafunisa embuto.,,
People are living in extended families.,Abantu babeera wamu n'enganda.,,
Girls are given empty promises.,Abawala basuubizibwa empewo.,,
People lack funds to pay for rent.,Abantu tebaalina ssente kusasulira we bapangisa.,,
The district should establish programs for single mothers.,Disitulikiti zirina okussaawo pulogulaamu za bannakyeyombekedde.,,
Fathers are living in a polygamous way of life.,Bataata babeera mu bulamu bw'okubeera n'abakyala abangi.,,
Men should be forced to provide for their families.,Abaami bateekeddwa okukakibwa okulabirira amaka gaabwe.,,
